,reaction,Unnamed: 0,dG,dG_std,ddG0,dG_prime,lower_bound,upper_bound,sign,direction
100,R03187,100,58.09439533,6.735260437999999,-80.68610098,-22.59170565,-42.79748696,-2.385924336,102.1115657,0
101,R03180,101,-3.7550678889999998,6.492844406000001,-0.038272349,-3.7933402380000003,-23.27187346,15.68519298,-365.02382620000003,0
102,R03182,102,-15.44977169,217.2911449,-119.9427763,-135.392548,-787.2659827,516.4808866999999,-406607.8328,0
103,R03183,103,66.49037458,6.314859737999999,-44.81748575,21.67288883,2.728309616,40.61746804,110.81702859999999,0
104,R06693,104,154.1276913,220.87058,-39.7564164,114.3712749,-548.2404651,776.9830149000001,-425973.5295,0
105,R06692,105,-503.47740489999995,9.215370729,44.7276761,-458.7497289,-486.39584110000004,-431.1036166999999,209687.0062,2
106,R06697,106,-132.24597179999998,344.87046499999997,-246.9927586,-379.23873030000004,-1413.850125,655.3726647000001,-926598.7241,0
107,R06696,107,-292.0033028,121.02785259999999,-0.228079996,-292.2313828,-655.3149406,70.852175,-46430.48885,0
108,R06695,108,-160.47053830000002,116.48701559999999,81.10270158,-79.36783670000001,-428.8288835,270.0932101,-115823.7697,0
109,R06694,109,-38.79276841,6.3535627439999995,81.17946756,42.38669915,23.32601092,61.44738738,1433.3224289999998,1
110,R06699,110,-210.0869275,181.94510780000002,0.637033607,-209.4498939,-755.2852173,336.3854295,-254066.9422,0
111,R02583,111,-62.92227531,11.54129221,-0.0007798939999999999,-62.9230552,-97.54693183,-28.29917857,2760.498043,2
112,R02581,112,63.83141185,8.161961697,-44.81702759,19.01438426,-5.471500831,43.50026935,-238.0117599,0
113,R02580,113,42.87704104,7.02124243,-42.37685077,0.500190263,-20.56353703,21.56391755,-443.430417,0
114,R02587,114,-8.449304324,6.310966495,-0.551040054,-9.000344378,-27.93324386,9.932555107,-277.448484,0
115,R00725,115,30.81639221,6.309975857,-39.25984641,-8.443454203,-27.37338177,10.48647337,-287.05023900000003,0
116,R00727,116,0.351818805,6.319863647999999,-2.224693219,-1.872874414,-20.83246536,17.08671653,-355.95843019999995,0
117,R00726,117,12.72458569,8.97213317,0.776004505,13.50059019,-13.41580932,40.4169897,-542.2266271000001,0
118,R00723,118,21.43690193,6.3041412,-38.46834963,-17.031447699999998,-35.9438713,1.8809759,-67.60955567,0
119,R00729,119,-96.01944781,10.94178143,-1.253108415,-97.27255622,-130.09790049999998,-64.44721193,8384.446966,2
120,R00728,120,21.84172505,6.440581042000001,-1.235909419,20.60581563,1.284072504,39.92755876,51.26988035,0
